t	roll	pitch	yaw
1341.1200	0.2149	0.1930	-50.0882
1341.1250	0.0597	0.6267	-50.6848
1341.1300	-0.0611	0.4416	-51.2826
1341.1350	-0.0611	0.4416	-51.2826
1341.1400	0.2381	0.4711	-51.8759
1341.1450	0.2381	0.4711	-51.8759
1341.1500	0.0806	0.2331	-52.4742
1341.1550	0.0806	0.2331	-52.4742
1341.1600	0.1269	0.0350	-53.0706
1341.1650	0.1269	0.0350	-53.0706
1341.1700	0.1433	0.1350	-53.6663
1341.1750	0.1433	0.1350	-53.6663
1341.1800	0.0876	0.2359	-54.2626
1341.1850	0.0876	0.2359	-54.2626
1341.1900	0.1512	0.3305	-54.8578
1341.1950	0.1512	0.3305	-54.8578
1341.2000	0.0880	0.2364	-55.4546
1341.2050	0.0880	0.2364	-55.4546
1341.2100	0.0366	0.2797	-56.0509
1341.2150	0.0366	0.2797	-56.0509
1341.2200	0.2542	0.2423	-56.6453
1341.2250	0.2542	0.2423	-56.6453
1341.2300	0.0863	0.2414	-57.2425
1341.2350	0.0863	0.2414	-57.2425
1341.2400	0.1959	0.2144	-57.8376
1341.2450	0.1959	0.2144	-57.8376
1341.2500	0.1291	0.2259	-58.4340
1341.2550	0.1291	0.2259	-58.4340
1341.2600	0.2486	0.2047	-59.0290
1341.2650	0.2486	0.2047	-59.0290
1341.2700	0.0876	0.2364	-59.6258
1341.2750	0.0876	0.2364	-59.6258
1341.2800	0.2286	0.1069	-60.2211
1341.2850	0.2286	0.1069	-60.2211
1341.2900	0.0608	0.2151	-60.8176
1341.2950	0.0608	0.2151	-60.8176
1341.3000	0.0673	0.3878	-61.4127
1341.3050	0.0673	0.3878	-61.4127
1341.3100	0.1412	0.2031	-62.0084
1341.3150	0.1412	0.2031	-62.0084
1341.3200	0.0901	0.2228	-62.6043
1341.3250	0.0901	0.2228	-62.6043
1341.3300	0.3177	0.3690	-63.1975
1341.3350	0.3177	0.3690	-63.1975
1341.3400	0.1127	0.2164	-63.7953
1341.3450	0.1127	0.2164	-63.7953
1341.3500	0.0426	0.2368	-64.3913
1341.3550	0.0426	0.2368	-64.3913
1341.3600	0.1579	0.2857	-64.9858
1341.3650	0.1579	0.2857	-64.9858
1341.3700	0.3045	0.3286	-65.5799
1341.3750	0.3045	0.3286	-65.5799
1341.3800	0.0718	0.2723	-66.1775
1341.3850	0.0718	0.2723	-66.1775
1341.3900	0.0850	0.2479	-66.7729
1341.3950	0.0850	0.2479	-66.7729
1341.4000	0.3351	0.2117	-67.3667
1341.4050	0.3351	0.2117	-67.3667
1341.4100	-0.0396	0.3417	-67.9644
1341.4150	-0.0396	0.3417	-67.9644
1341.4200	0.0923	0.2412	-68.5590
1341.4250	0.0923	0.2412	-68.5590
1341.4300	0.3102	0.3020	-69.1525
1341.4350	0.3102	0.3020	-69.1525
1341.4400	0.0623	0.2225	-69.7500
1341.4450	0.0623	0.2225	-69.7500
1341.4500	0.0578	0.2686	-70.3452
1341.4550	0.0578	0.2686	-70.3452
1341.4600	0.1281	0.2115	-70.9402
1341.4650	0.1281	0.2115	-70.9402
1341.4700	0.1626	0.3335	-71.5347
1341.4750	0.1626	0.3335	-71.5347
1341.4800	0.1085	0.6139	-72.1292
1341.4850	0.1085	0.6139	-72.1292
1341.4900	-0.2453	0.2135	-72.7284
1341.4950	-0.2453	0.2135	-72.7284
1341.5000	0.2104	0.4149	-73.3195
1341.5050	0.2104	0.4149	-73.3195
1341.5100	0.1412	0.2711	-73.9159
1341.5150	0.1412	0.2711	-73.9159
1341.5200	0.0981	0.2368	-74.5115
1341.5250	0.0981	0.2368	-74.5115
1341.5300	0.0994	0.2523	-75.1066
1341.5350	0.0994	0.2523	-75.1066
1341.5400	-0.0759	0.3766	-75.7026
1341.5450	-0.0759	0.3766	-75.7026
1341.5500	0.0532	0.3509	-76.2968
1341.5550	0.0532	0.3509	-76.2968
1341.5600	0.0605	0.2062	-76.8923
1341.5650	0.0605	0.2062	-76.8923
1341.5700	0.0392	0.0062	-77.4882
1341.5750	0.0392	0.0062	-77.4882
1341.5800	0.1018	0.2442	-78.0820
1341.5850	0.1018	0.2442	-78.0820
1341.5900	0.0891	0.1645	-78.6775
1341.5950	0.0891	0.1645	-78.6775
1341.6000	0.0914	0.2481	-79.2721
1341.6050	0.0914	0.2481	-79.2721
1341.6100	0.0573	0.4098	-79.8667
1341.6150	0.0573	0.4098	-79.8667
1341.6200	0.0057	0.1665	-80.4629
1341.6250	0.0057	0.1665	-80.4629
1341.6300	-0.0912	0.2955	-81.0582
1341.6350	-0.0912	0.2955	-81.0582
1341.6400	0.0270	0.2572	-81.6524
1341.6450	0.0270	0.2572	-81.6524
1341.6500	0.0917	0.2517	-82.2470
1341.6550	0.0917	0.2517	-82.2470
1341.6600	0.0917	0.2517	-82.2470
1341.6650	0.2063	0.2039	-82.8414
1341.6700	0.2063	0.2039	-82.8414
1341.6750	0.0704	0.4070	-83.4363
1341.6800	0.1469	0.2088	-84.0315
1341.6850	0.1469	0.2088	-84.0315
1341.6900	-0.0877	0.3287	-84.6275
1341.6950	-0.0877	0.3287	-84.6275
1341.7000	0.1129	0.3410	-85.2209
1341.7050	0.1129	0.3410	-85.2209
1341.7100	0.3415	0.6062	-85.8124
1341.7150	0.3415	0.6062	-85.8124
1341.7200	0.0720	0.1472	-86.4117
1341.7250	0.0720	0.1472	-86.4117
1341.7300	-0.1369	0.2083	-87.0075
1341.7350	-0.1369	0.2083	-87.0075
1341.7400	0.1922	0.2679	-87.6000
1341.7450	0.1922	0.2679	-87.6000
1341.7500	0.2160	0.2797	-88.1946
1341.7550	0.2160	0.2797	-88.1946
1341.7600	0.0202	0.2363	-88.7908
1341.7650	0.0202	0.2363	-88.7908
1341.7700	0.2660	0.1914	-89.3844
1341.7750	0.2660	0.1914	-89.3844
1341.7800	0.0865	0.1302	-89.9805
1341.7850	0.0865	0.1302	-89.9805
1341.7900	0.0865	0.1302	-89.9805
1341.7950	0.2382	0.3744	-90.5731
1341.8000	0.2382	0.3744	-90.5731
1341.8050	-0.0083	0.5236	-91.1690
1341.8100	0.0295	0.2509	-91.7645
1341.8150	0.0295	0.2509	-91.7645
1341.8200	0.0295	0.2509	-91.7645
1341.8250	0.1299	0.2105	-92.3588
1341.8300	0.1125	0.2456	-92.9535
1341.8350	0.1125	0.2456	-92.9535
1341.8400	0.0309	0.2615	-93.5486
1341.8450	0.0309	0.2615	-93.5486
1341.8500	0.1263	0.4781	-94.1417
1341.8550	0.1263	0.4781	-94.1417
1341.8600	0.0965	0.2559	-94.7376
1341.8650	0.0965	0.2559	-94.7376
1341.8700	0.2119	0.2960	-95.3314
1341.8750	0.2119	0.2960	-95.3314
1341.8800	-0.0208	0.5122	-95.9267
1341.8850	-0.0208	0.5122	-95.9267
1341.8900	0.1541	0.2092	-96.5215
1341.8950	0.1541	0.2092	-96.5215
1341.9000	0.2349	0.1462	-97.1161
1341.9050	0.2349	0.1462	-97.1161
1341.9100	0.0892	0.2286	-97.7110
1341.9150	0.0892	0.2286	-97.7110
1341.9200	0.1967	0.1888	-98.3053
1341.9250	0.1967	0.1888	-98.3053
1341.9300	0.3081	-0.0438	-98.9009
1341.9350	0.3081	-0.0438	-98.9009
1341.9400	0.3081	-0.0438	-98.9009
1341.9450	0.1153	0.2583	-99.4946
1341.9500	0.1259	0.0953	-100.0900
1341.9550	0.1259	0.0953	-100.0900
1341.9600	0.1169	0.2795	-100.6837
1341.9650	0.1169	0.2795	-100.6837
1341.9700	0.0936	0.3200	-101.2782
1341.9750	0.0936	0.3200	-101.2782
1341.9800	0.5716	0.3978	-101.8694
1341.9850	0.5716	0.3978	-101.8694
1341.9900	0.0925	0.2691	-102.4676
1341.9950	0.0925	0.2691	-102.4676
1342.0000	0.0901	0.2989	-103.0621
1342.0050	0.0901	0.2989	-103.0621
1342.0100	0.0806	0.0944	-103.6576
1342.0150	0.0806	0.0944	-103.6576
1342.0200	0.1944	0.4018	-104.2500
1342.0250	0.1944	0.4018	-104.2500
1342.0300	0.1737	0.1890	-104.8459
1342.0350	0.1737	0.1890	-104.8459
1342.0400	-0.0367	0.1978	-105.4413
1342.0450	-0.0367	0.1978	-105.4413
1342.0500	0.0443	0.3424	-106.0348
1342.0550	0.0443	0.3424	-106.0348
1342.0600	0.1394	0.2744	-106.6292
1342.0650	0.1394	0.2744	-106.6292
1342.0700	0.0943	0.0620	-107.2250
1342.0750	0.0943	0.0620	-107.2250
1342.0800	0.0943	0.0620	-107.2250
1342.0850	0.0342	0.0858	-107.8195
1342.0900	0.1652	0.1526	-108.4133
1342.0950	0.1652	0.1526	-108.4133
1342.1000	0.0802	0.2569	-109.0076
1342.1050	0.0802	0.2569	-109.0076
1342.1100	0.1550	0.3704	-109.6012
1342.1150	0.1550	0.3704	-109.6012
1342.1200	0.0965	0.2761	-110.1964
1342.1250	0.0965	0.2761	-110.1964
1342.1300	0.4078	0.1445	-110.7905
1342.1350	0.4078	0.1445	-110.7905
1342.1400	0.2874	0.2079	-111.3850
1342.1450	0.2874	0.2079	-111.3850
1342.1500	0.1055	0.4758	-111.9788
1342.1550	0.1055	0.4758	-111.9788
1342.1600	0.2274	0.3110	-112.5736
1342.1650	0.2274	0.3110	-112.5736
1342.1700	0.0825	0.2683	-113.1689
1342.1750	0.0825	0.2683	-113.1689
1342.1800	0.2993	0.4775	-113.7610
1342.1850	0.2993	0.4775	-113.7610
1342.1900	0.0246	0.2778	-114.3580
1342.1950	0.0246	0.2778	-114.3580
1342.2000	0.0587	0.5282	-114.9511
1342.2050	0.0587	0.5282	-114.9511
1342.2100	0.0733	0.2590	-115.5468
1342.2150	0.0733	0.2590	-115.5468
1342.2200	0.0733	0.2590	-115.5468
1342.2250	0.0696	0.2779	-116.1411
1342.2300	0.0696	0.2779	-116.1411
1342.2350	0.1761	0.3035	-116.7350
1342.2400	0.1641	0.3035	-117.3295
1342.2450	0.1641	0.3035	-117.3295
1342.2500	0.1071	0.2696	-117.9243
